Datetime,HA_open,HA_high,HA_low,HA_close,max_high,max_low,trand-line,Symbol,Qty,position,Buy/Sell,Entry Price,Exit Price,strategy_returns,returns
2023-05-31 09:15:00+05:30,44213.900390625,44332.55078125,44086.0,44211.587890625,,,44086.0,Bank,25,1,Buy,44211.587890625,0,0.0,500000.0
2023-05-31 09:30:00+05:30,44212.744140625,44212.744140625,44064.0,44098.9990234375,,,44086.0,,,,,,,0.0,500000.0
2023-05-31 09:45:00+05:30,44155.87158203125,44155.87158203125,44056.05078125,44093.7998046875,,,44086.0,,,,,,,0.0,500000.0
2023-05-31 10:00:00+05:30,44124.835693359375,44156.6015625,44098.8984375,44120.474609375,,,44086.0,,,,,,,0.0,500000.0
2023-05-31 10:15:00+05:30,44122.65515136719,44134.8984375,44058.3515625,44097.625,,,44086.0,,,,,,,0.0,500000.0
2023-05-31 10:30:00+05:30,44110.140075683594,44110.140075683594,44052.94921875,44071.5869140625,,,44086.0,Bank,25,0,Buy_Exit,0.0,44071.5869140625,-3500.0244140625,496499.9755859375
2023-05-31 10:45:00+05:30,44090.86349487305,44118.19921875,44054.1484375,44086.4248046875,,,44086.0,Bank,25,1,Buy,44086.4248046875,0,0.0,496499.9755859375
2023-05-31 11:00:00+05:30,44088.64414978027,44153.80078125,44088.64414978027,44126.26171875,,,44086.0,,,,,,,0.0,496499.9755859375
2023-05-31 11:15:00+05:30,44107.45293426514,44152.25,44084.0,44114.30078125,,,44086.0,,,,,,,0.0,496499.9755859375
2023-05-31 11:30:00+05:30,44110.87685775757,44110.87685775757,44003.6015625,44051.5498046875,,44003.6015625,44086.0,Bank,25,0,Buy_Exit,0.0,44051.5498046875,-871.875,495628.1005859375
2023-05-31 11:45:00+05:30,44081.213331222534,44081.213331222534,43890.55078125,43969.6630859375,,43890.55078125,44081.213331222534,Bank,25,-1,Sell,43969.6630859375,0,0.0,495628.1005859375
2023-05-31 12:00:00+05:30,44025.43820858002,44025.43820858002,43939.3984375,43957.875,,43890.55078125,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 12:15:00+05:30,43991.65660429001,43991.65660429001,43918.1015625,43944.2255859375,,43890.55078125,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 12:30:00+05:30,43967.941095113754,43967.941095113754,43858.5,43913.4755859375,,43858.5,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 12:45:00+05:30,43940.70834052563,43940.75,43836.1484375,43903.1865234375,,43836.1484375,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 13:00:00+05:30,43921.94743198156,43921.94743198156,43844.05078125,43874.7255859375,,43836.1484375,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 13:15:00+05:30,43898.33650895953,43919.0,43824.75,43877.8876953125,,43824.75,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 13:30:00+05:30,43888.112102136016,43942.3984375,43873.94921875,43910.4365234375,,43824.75,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 13:45:00+05:30,43899.27431278676,43921.30078125,43851.1484375,43890.69921875,,43824.75,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 14:00:00+05:30,43894.98676576838,43910.05078125,43846.5,43881.9375,,43824.75,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 14:15:00+05:30,43888.46213288419,43941.75,43870.19921875,43910.287109375,,43824.75,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 14:30:00+05:30,43899.374621129595,43979.25,43899.374621129595,43947.025390625,43979.25,43824.75,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 14:45:00+05:30,43923.2000058773,43998.80078125,43923.2000058773,43972.67578125,43998.80078125,43824.75,44081.213331222534,,,,,,,0.0,495628.1005859375
2023-05-31 15:00:00+05:30,43947.93789356365,44204.75,43947.93789356365,44070.5869140625,44204.75,43824.75,43947.93789356365,Bank,25,0,Sell_exit,0.0,44070.5869140625,-2523.095703125,493105.0048828125
2023-05-31 15:15:00+05:30,44009.262403813074,44265.55078125,44009.262403813074,44163.525390625,44265.55078125,43824.75,43947.93789356365,Bank,25,1,Buy,44163.525390625,0,0.0,493105.0048828125
