Date,Unnamed: 0,Open,High,Low,Close,V,OI,correlation_close,Symbol,Qty,position,Buy/Sell,Entry Price,Exit Price,strategy_returns,returns
2023-06-01T09:15:00+0530,44172.05,44172.05,44172.05,43978.4,44076.2125,0,0,,,,,,,,0.0,500000.0
2023-06-01T09:30:00+0530,44075.225000000006,43980.0,44087.05,43972.2,44023.075,0,0,,,,,,,,0.0,500000.0
2023-06-01T09:45:00+0530,44023.7125,44052.6,44148.05,44041.0,44084.149999999994,0,0,,,,,,,,0.0,500000.0
2023-06-01T10:00:00+0530,44032.35625,44105.35,44114.85,44059.85,44086.0,0,0,,,,,,,,0.0,500000.0
2023-06-01T10:15:00+0530,44046.103124999994,44061.65,44108.6,44035.55,44075.0375,0,0,,,,,,,,0.0,500000.0
2023-06-01T10:30:00+0530,44040.8265625,44096.15,44132.15,44069.65,44097.475000000006,0,0,,,,,,,,0.0,500000.0
2023-06-01T10:45:00+0530,44055.23828125,44098.95,44119.9,44079.4,44101.275,0,0,,,,,,,,0.0,500000.0
2023-06-01T11:00:00+0530,44067.319140625,44104.4,44115.7,44054.7,44095.612499999996,0,0,,,,,,,,0.0,500000.0
2023-06-01T11:15:00+0530,44061.0095703125,44108.3,44124.05,44071.9,44096.2125,0,0,,,,,,,,0.0,500000.0
2023-06-01T11:30:00+0530,44066.45478515625,44078.1,44114.0,44063.55,44091.325000000004,0,0,,,,,,,,0.0,500000.0
2023-06-01T11:45:00+0530,44065.00239257813,44109.5,44141.8,44085.95,44106.6875,0,0,,,,,,,,0.0,500000.0
2023-06-01T12:00:00+0530,44075.47619628906,44090.05,44101.55,44043.9,44075.175,0,0,-1.0374999999985448,,,,,,,0.0,500000.0
2023-06-01T12:15:00+0530,44059.68809814453,44067.55,44126.15,44045.1,44090.375,0,0,67.30000000000291,,,,,,,0.0,500000.0
2023-06-01T12:30:00+0530,44052.39404907226,44125.55,44164.0,44108.55,44130.8375,0,0,46.687500000007276,,,,,,,0.0,500000.0
2023-06-01T12:45:00+0530,44080.47202453613,44126.6,44128.2,44081.45,44111.0125,0,0,25.01249999999709,,,,,,,0.0,500000.0
