Datetime,Open,High,Low,Close,Volume,max_high,max_low,trand-line
2023-02-16 09:15:00+05:30,41925.69922,41974.39844,41823.05078,41948.64844,0,,,41823.05078
2023-02-16 09:30:00+05:30,41943.94922,41963.80078,41896.05078,41955.89844,0,41955.89844,,41823.05078
2023-02-16 09:45:00+05:30,41954.80078,41957.89844,41831.14844,41869.64844,0,,,41957.89844
2023-02-16 10:00:00+05:30,41869.10156,41896.39844,41850.44922,41854.64844,0,,,41957.89844
2023-02-16 10:15:00+05:30,41854.39844,41865.55078,41784.60156,41814.85156,0,,,41957.89844
2023-02-16 10:30:00+05:30,41815.44922,41844.75,41804.85156,41837.94922,0,,,41957.89844
2023-02-16 10:45:00+05:30,41837.60156,41890.55078,41832.94922,41874,0,,,41957.89844
2023-02-16 11:00:00+05:30,41873.85156,41895.85156,41830.64844,41850.14844,0,,,41957.89844
2023-02-16 11:15:00+05:30,41847.60156,41873.89844,41841.94922,41844.69922,0,,,41957.89844
2023-02-16 11:30:00+05:30,41843.64844,41863.94922,41786.39844,41827.19922,0,,,41957.89844
2023-02-16 11:45:00+05:30,41826.75,41852.39844,41750,41839.75,0,,,41957.89844
2023-02-16 12:00:00+05:30,41836.60156,41851.35156,41785.69922,41787.5,0,,,41957.89844
2023-02-16 12:15:00+05:30,41786.14844,41807.05078,41764.10156,41784.44922,0,,,41957.89844
2023-02-16 12:30:00+05:30,41781.30078,41797,41676.30078,41725.35156,0,,,41957.89844
2023-02-16 12:45:00+05:30,41725.94922,41735.30078,41693.44922,41705.60156,0,,,41957.89844
2023-02-16 13:00:00+05:30,41704.35156,41797.69922,41693.10156,41769.44922,0,,,41957.89844
2023-02-16 13:15:00+05:30,41763.60156,41861.30078,41751.5,41837.69922,0,,,41957.89844
2023-02-16 13:30:00+05:30,41839.05078,41861.94922,41815.05078,41832.80078,0,,,41957.89844
2023-02-16 13:45:00+05:30,41829.64844,41850.64844,41724.75,41768.60156,0,,,41957.89844
2023-02-16 14:00:00+05:30,41768.30078,41781.94922,41713.64844,41775.14844,0,,,41957.89844
2023-02-16 14:15:00+05:30,41775.35156,41798.44922,41629.69922,41663.69922,0,,,41957.89844
2023-02-16 14:30:00+05:30,41662.69922,41762.10156,41655.64844,41743,0,,,41957.89844
2023-02-16 14:45:00+05:30,41745.64844,41779.39844,41705.19922,41739.55078,0,,,41957.89844
2023-02-16 15:00:00+05:30,41740.25,41751.44922,41643.69922,41651.10156,0,,,41957.89844
2023-02-16 15:15:00+05:30,41645.80078,41656.39844,41523.10156,41554.10156,0,,,41957.89844
2023-02-17 09:15:00+05:30,41514,41514,41360.14844,41440.80078,0,,,41957.89844
2023-02-17 09:30:00+05:30,41437.35156,41455.89844,41412.89844,41425.30078,0,,41425.30078,41957.89844
2023-02-17 09:45:00+05:30,41444.19922,41444.19922,41444.19922,41444.19922,0,,,41397.80078
2023-02-17 10:00:00+05:30,41456.55078,41456.55078,41456.55078,41456.55078,0,,,41397.80078
2023-02-17 10:15:00+05:30,41358.25,41380.19922,41317.55078,41337.44922,0,,41337.44922,41957.89844
2023-02-17 10:30:00+05:30,41373.1484375,41373.1484375,41373.1484375,41373.1484375,0,,,41317.55078125
